timestamp,kWh,weekday,hour,temperature,Holiday
2013-01-10 22:00:00,0.33622262554930094,3,22.0,2.49,-1.0
2013-01-10 23:00:00,0.2878897566472938,3,23.0,2.47,-1.0
2013-01-11 00:00:00,0.2403954966951153,4,0.0,2.09,-1.0
2013-01-11 01:00:00,0.18504162884930012,4,1.0,2.07,-1.0
2013-01-11 02:00:00,0.15286604889131225,4,2.0,2.11,-1.0
2013-01-11 03:00:00,0.13541530358051618,4,3.0,1.73,-1.0
2013-01-11 04:00:00,0.1292835332788077,4,4.0,1.58,-1.0
2013-01-11 05:00:00,0.1334018539803708,4,5.0,1.21,-1.0
2013-01-11 06:00:00,0.1547111960196292,4,6.0,0.89,-1.0
2013-01-11 07:00:00,0.20422537250090875,4,7.0,1.66,-1.0
2013-01-11 08:00:00,0.273546164867321,4,8.0,1.76,-1.0
2013-01-11 09:00:00,0.2651296365454546,4,9.0,2.24,-1.0
2013-01-11 10:00:00,0.2574520173573246,4,10.0,2.78,-1.0
2013-01-11 11:00:00,0.24321483102508176,4,11.0,3.71,-1.0
2013-01-11 12:00:00,0.23582042913486004,4,12.0,4.68,-1.0
2013-01-11 13:00:00,0.23550308965830608,4,13.0,5.31,-1.0
2013-01-11 14:00:00,0.2286370409487459,4,14.0,5.7,-1.0
2013-01-11 15:00:00,0.22946981816363635,4,15.0,5.24,-1.0
2013-01-11 16:00:00,0.2592626316066885,4,16.0,4.64,-1.0
2013-01-11 17:00:00,0.33780879681933845,4,17.0,3.97,-1.0
2013-01-11 18:00:00,0.38400799705561617,4,18.0,3.35,-1.0
2013-01-11 19:00:00,0.40478353307888043,4,19.0,2.78,-1.0
2013-01-11 20:00:00,0.38948091613958563,4,20.0,1.91,-1.0
2013-01-11 21:00:00,0.36158080356298855,4,21.0,2.15,-1.0
2013-01-11 22:00:00,0.32988474822759495,4,22.0,1.37,-1.0
2013-01-11 23:00:00,0.28681203455735316,4,23.0,1.37,-1.0
2013-01-12 00:00:00,0.2550670909272727,5,0.0,1.75,-1.0
2013-01-12 01:00:00,0.20482957854287792,5,1.0,1.86,-1.0
2013-01-12 02:00:00,0.1648237645167151,5,2.0,2.39,-1.0
2013-01-12 03:00:00,0.14416021792915532,5,3.0,2.86,-1.0
2013-01-12 04:00:00,0.13203578563124432,5,4.0,2.99,-1.0
2013-01-12 05:00:00,0.13246521338782924,5,5.0,3.08,-1.0
2013-01-12 06:00:00,0.14392154017435527,5,6.0,3.38,-1.0
2013-01-12 07:00:00,0.16730348721394842,5,7.0,3.05,-1.0
2013-01-12 08:00:00,0.21685306926988743,5,8.0,3.08,-1.0
2013-01-12 09:00:00,0.2702142076671512,5,9.0,3.58,-1.0
2013-01-12 10:00:00,0.28723941871026343,5,10.0,3.66,-1.0
2013-01-12 11:00:00,0.29515949164396005,5,11.0,4.18,-1.0
2013-01-12 12:00:00,0.2968937520341446,5,12.0,4.52,-1.0
2013-01-12 13:00:00,0.31551880105358765,5,13.0,4.52,-1.0
2013-01-12 14:00:00,0.3067018530523256,5,14.0,4.53,-1.0
2013-01-12 15:00:00,0.30263669391462306,5,15.0,4.07,-1.0
2013-01-12 16:00:00,0.31447702078110806,5,16.0,3.88,-1.0
2013-01-12 17:00:00,0.3730376087027616,5,17.0,3.93,-1.0
2013-01-12 18:00:00,0.4099126092296511,5,18.0,3.86,-1.0
2013-01-12 19:00:00,0.41985649382379653,5,19.0,3.41,-1.0
2013-01-12 20:00:00,0.3964128972025432,5,20.0,3.38,-1.0
2013-01-12 21:00:00,0.3615105342898656,5,21.0,3.58,-1.0
2013-01-12 22:00:00,0.334544678605158,5,22.0,3.56,-1.0
2013-01-12 23:00:00,0.29220414097348346,5,23.0,3.52,-1.0
2013-01-13 00:00:00,0.2638169268616055,6,0.0,3.48,-1.0
2013-01-13 01:00:00,0.2100637137956072,6,1.0,3.48,-1.0
2013-01-13 02:00:00,0.16921092760936648,6,2.0,3.48,-1.0
2013-01-13 03:00:00,0.14824196774369214,6,3.0,3.35,-1.0
2013-01-13 04:00:00,0.13610056278816482,6,4.0,2.94,-1.0
2013-01-13 05:00:00,0.13405100735160647,6,5.0,2.89,-1.0
2013-01-13 06:00:00,0.13987021221637322,6,6.0,2.35,-1.0
2013-01-13 07:00:00,0.15782991472136504,6,7.0,2.28,-1.0
2013-01-13 08:00:00,0.19914975494645126,6,8.0,2.12,-1.0
2013-01-13 09:00:00,0.2497598474859321,6,9.0,1.45,-1.0
2013-01-13 10:00:00,0.2825460153203848,6,10.0,1.57,-1.0
2013-01-13 11:00:00,0.303654565347613,6,11.0,2.44,-1.0
2013-01-13 12:00:00,0.3221528406425849,6,12.0,2.88,-1.0
2013-01-13 13:00:00,0.33763350873116715,6,13.0,2.88,-1.0
2013-01-13 14:00:00,0.3303719366491196,6,14.0,2.88,-1.0
2013-01-13 15:00:00,0.3236367760392086,6,15.0,2.69,-1.0
2013-01-13 16:00:00,0.35885169711381376,6,16.0,2.31,-1.0
2013-01-13 17:00:00,0.4096730806316936,6,17.0,1.83,-1.0
2013-01-13 18:00:00,0.44280395739698675,6,18.0,1.73,-1.0
2013-01-13 19:00:00,0.4421152656380468,6,19.0,1.64,-1.0
2013-01-13 20:00:00,0.42545797774550737,6,20.0,1.67,-1.0
2013-01-13 21:00:00,0.3999558826434278,6,21.0,1.18,-1.0
2013-01-13 22:00:00,0.355918089375227,6,22.0,1.16,-1.0
2013-01-13 23:00:00,0.29601306948629513,6,23.0,1.04,-1.0
2013-01-14 00:00:00,0.24303830802469137,0,0.0,0.94,-1.0
2013-01-14 01:00:00,0.19242343335149864,0,1.0,0.61,-1.0
2013-01-14 02:00:00,0.16064450497729338,0,2.0,0.29,-1.0
2013-01-14 03:00:00,0.14319116567082113,0,3.0,0.63,-1.0
2013-01-14 04:00:00,0.1340681198910082,0,4.0,0.64,-1.0
2013-01-14 05:00:00,0.13793079002724798,0,5.0,0.19,-1.0
2013-01-14 06:00:00,0.15955640314259764,0,6.0,-0.37,-1.0
2013-01-14 07:00:00,0.21676839209809262,0,7.0,-0.41,-1.0
2013-01-14 08:00:00,0.2901135331880109,0,8.0,-0.27,-1.0
2013-01-14 09:00:00,0.281329759974564,0,9.0,0.07,-1.0
2013-01-14 10:00:00,0.2663664607194767,0,10.0,0.32,-1.0
2013-01-14 11:00:00,0.26410555961119186,0,11.0,0.85,-1.0
2013-01-14 12:00:00,0.26428410554041776,0,12.0,1.31,-1.0
2013-01-14 13:00:00,0.278627247702089,0,13.0,1.42,-1.0
2013-01-14 14:00:00,0.2791438689373297,0,14.0,1.95,-1.0
2013-01-14 15:00:00,0.28531843778383287,0,15.0,1.94,-1.0
2013-01-14 16:00:00,0.30550971836512264,0,16.0,1.73,-1.0
2013-01-14 17:00:00,0.3528285192552225,0,17.0,2.15,-1.0
2013-01-14 18:00:00,0.40806869002362345,0,18.0,2.23,-1.0
2013-01-14 19:00:00,0.439506448719346,0,19.0,2.62,-1.0
2013-01-14 20:00:00,0.4309313354405086,0,20.0,2.94,-1.0
2013-01-14 21:00:00,0.402663215277021,0,21.0,2.51,-1.0
2013-01-14 22:00:00,0.3598919164214351,0,22.0,2.45,-1.0
2013-01-14 23:00:00,0.3011737140032949,0,23.0,2.03,-1.0
2013-01-15 00:00:00,0.24631031962209304,1,0.0,2.38,-1.0
2013-01-15 01:00:00,0.1938331515994184,1,1.0,1.94,-1.0
2013-01-15 02:00:00,0.16064655622387788,1,2.0,2.28,-1.0
2013-01-15 03:00:00,0.14704452113392694,1,3.0,1.93,-1.0
2013-01-15 04:00:00,0.13690350717790298,1,4.0,1.93,-1.0
2013-01-15 05:00:00,0.14011212069780118,1,5.0,1.54,-1.0
2013-01-15 06:00:00,0.16586698159185898,1,6.0,1.53,-1.0
2013-01-15 07:00:00,0.21907286925313466,1,7.0,1.37,-1.0
2013-01-15 08:00:00,0.28206160287116117,1,8.0,1.23,-1.0
2013-01-15 09:00:00,0.27016321355870593,1,9.0,1.26,-1.0
2013-01-15 10:00:00,0.25882675868023997,1,10.0,1.28,-1.0
2013-01-15 11:00:00,0.2533399381021632,1,11.0,1.87,-1.0
2013-01-15 12:00:00,0.25443345458181815,1,12.0,1.53,-1.0
2013-01-15 13:00:00,0.25970023650245416,1,13.0,1.48,-1.0
